Year,Lat (index),Lon (index),
2015,18,75,
,,,
Time,wave height,mean wind direction,mean temperature
hr,m,degT,degC
0,1.35,295,13.9
12,2,292,13.9
24,1.53,283,13.9
36,1.54,277,13.9
48,1.34,283,13.9
60,1.14,325,13.9
72,1.07,323,13.9
84,1.01,329,13.9
96,1.67,328,13.9
108,1.67,322,13.9
120,1.42,285,13.9
132,1.27,329,13.9
144,1.34,319,13.9
156,1.53,283,13.9
168,1.53,323,13.9
180,1.22,328,13.9
192,1.88,325,13.9
204,2.26,322,13.9
216,2.34,323,13.9
228,2.07,326,13.9
240,2.09,330,13.9
252,2.23,328,13.9
264,2.34,326,13.9
276,1.88,335,13.9
288,2.09,311,13.9
300,2.2,326,13.9
312,1.45,332,13.8
324,1.44,330,13.8
336,1.83,329,13.8
348,1.81,332,13.8
360,2.24,332,13.8
372,2.24,333,13.8
384,2.69,335,13.8
396,2.52,330,13.9
408,2.16,333,13.9
420,2.13,332,13.9
432,2.87,335,13.9
444,3.39,323,13.9
456,3.14,316,13.9
468,3.52,325,13.9
480,3.28,325,13.9
492,2.53,323,13.9
504,1.88,326,13.9
516,1.59,325,13.9
528,1.61,332,13.9
540,2.43,311,13.9
552,3.43,328,13.8
564,3.56,323,13.8
576,2.89,297,13.8
588,2.33,294,13.8
600,2.38,325,13.8
612,2.21,297,13.8
624,2.01,325,13.8
636,1.89,333,13.8
648,1.78,328,13.8
660,1.68,323,13.7
672,2.12,307,13.7
684,2.3,302,13.7
696,2.83,302,13.7
708,2.93,295,13.7
720,3.11,318,13.7
732,2.13,307,13.7
744,2.14,295,13.7
756,1.56,305,13.7
768,1.39,298,13.7
780,2.01,294,13.7
792,2.69,297,13.7
804,2.23,305,13.7
816,2.4,299,13.7
828,1.9,301,13.7
840,1.67,298,13.7
852,2.95,292,13.7
864,4.11,307,13.7
876,5.56,301,13.7
888,4.54,301,13.7
900,3.47,299,13.7
912,4.1,298,13.8
924,3.37,298,13.8
936,5.17,292,13.8
948,5.42,307,13.8
960,4.11,302,13.8
972,4.13,297,13.8
984,2.71,304,13.8
996,1.66,294,13.8
1008,1.89,302,13.8
1020,2.62,302,13.8
1032,2.84,304,13.8
1044,2.39,302,13.8
1056,2.41,287,13.8
1068,2.12,281,13.9
